Player,Team,Amount,Year
Roelof van der Merwe,Delhi Daredevils,4076500.0,2011.0
Luke Pomersbach,Royal Challengers Bangalore,4076500.0,2011.0
Rilee Rossouw,Royal Challengers Bangalore,1630600.0,2011.0
Nuwan Pradeep,Royal Challengers Bangalore,1630600.0,2011.0
Chris Lynn,Deccan Chargers,1630600.0,2011.0
Travis Birt,Delhi Daredevils,1630600.0,2011.0
Nathan Rimmington,Kings XI Punjab,1630600.0,2011.0
Jonathan Vandiar,Royal Challengers Bangalore,1630600.0,2011.0
Aiden Blizzard,Mumbai Indians,1630600.0,2011.0
Robert Frylinck,Delhi Daredevils,1630600.0,2011.0
Stephen O'Keefe,Kochi Tuskers Kerala,1630600.0,2011.0
Brendon McCullum,Kolkata Knight Riders,73377000.0,2012.0
Ravindra Jadeja,Chennai Super Kings,163060000.0,2012.0
Muttiah Muralitharan,Royal Challengers Bangalore,17936600.0,2012.0
Mahela Jayawardene,Delhi Daredevils,114142000.0,2012.0
Herschelle Gibbs,Mumbai Indians,4076500.0,2012.0
Brad Hodge,Rajasthan Royals,38726750.0,2012.0
Parthiv Patel,Deccan Chargers,52994500.0,2012.0
Dinesh Chandimal,Rajasthan Royals,4076500.0,2012.0
Andre Russell,Delhi Daredevils,36688500.0,2012.0
Mitchell Johnson,Mumbai Indians,24459000.0,2012.0
R. P. Singh,Mumbai Indians,48918000.0,2012.0
Vinay Kumar,Royal Challengers Bangalore,81530000.0,2012.0
Sreesanth,Rajasthan Royals,32612000.0,2012.0
Ramesh Powar,Kings XI Punjab,13044800.0,2012.0
Brad Hogg,Rajasthan Royals,14675400.0,2012.0
Sunil Narine,Kolkata Knight Riders,57071000.0,2012.0
Robin Peterson,Mumbai Indians,8153000.0,2012.0
Daniel Harris,Deccan Chargers,5707100.0,2012.0
Kevon Cooper,Rajasthan Royals,4076500.0,2012.0
James Faulkner,Kings XI Punjab,15490700.0,2012.0
Azhar Mahmood,Kings XI Punjab,16306000.0,2012.0
Thisara Perera,Mumbai Indians,52994500.0,2012.0
Marchant de Lange,Kolkata Knight Riders,4076500.0,2012.0
Darren Bravo,Deccan Chargers,8153000.0,2012.0
Doug Bracewell,Delhi Daredevils,4076500.0,2012.0
Aaron Finch,Sunrisers Hyderabad,40000000.0,2014.0
Aaron Finch,Mumbai Indians,32000000.0,2015.0
Aaron Finch,Gujarat Lions,10000000.0,2016.0
Aaron Finch,Kings XI Punjab,62000000.0,2018.0
Aaron Finch,Royal Challengers Bangalore,44000000.0,2020.0
Abdul Samad,Sunrisers Hyderabad,2000000.0,2020.0
Abhijeet Tomar,Kolkata Knight Riders,4000000.0,2022.0
Abhimanyu Mithun,Mumbai Indians,3000000.0,2015.0
Abhimanyu Mithun,Sunrisers Hyderabad,3000000.0,2016.0
Abhinav Sadarangani,Gujarat Titans,26000000.0,2022.0
Abhishek Nayar,Pune Warriors India,50625000.0,2013.0
Abhishek Nayar,Rajasthan Royals,10000000.0,2014.0
Abhishek Sharma,Delhi Daredevils,5500000.0,2018.0
Abhishek Sharma,Sunrisers Hyderabad,65000000.0,2022.0
Abu Nechim Ahmed,Royal Challengers Bangalore,3000000.0,2014.0
Adam Milne,Royal Challengers Bangalore,7000000.0,2015.0
Adam Milne,Mumbai Indians,32000000.0,2021.0
Adam Milne,Chennai Super Kings,19000000.0,2022.0
Adam Zampa,Rising Pune Supergiant,3000000.0,2016.0
Aditya Garhwal,Kolkata Knight Riders,2500000.0,2015.0
Aditya Tare,Mumbai Indians,16000000.0,2014.0
Aditya Tare,Sunrisers Hyderabad,12000000.0,2016.0
Aditya Tare,Delhi Daredevils,2500000.0,2017.0
Aditya Tare,Mumbai Indians,2000000.0,2018.0
Agnivesh Ayachi,Kings XI Punjab,2000000.0,2019.0
Aiden Blizzard,Mumbai Indians,3000000.0,2015.0
Aiden Markram,Sunrisers Hyderabad,26000000.0,2022.0
Ajantha Mendis,Pune Warriors India,54375000.0,2013.0
Ajinkya Rahane,Rajasthan Royals,40000000.0,2018.0
Ajinkya Rahane,Kolkata Knight Riders,10000000.0,2022.0
Akash Deep,Royal Challengers Bangalore,2000000.0,2022.0
Akash Singh,Rajasthan Royals,2000000.0,2020.0
Akash Singh,Rajasthan Royals,2000000.0,2021.0
Akhil Arvind Herwadkar,Delhi Daredevils,1000000.0,2016.0
Akila Dananjaya,Chennai Super Kings,1500000.0,2013.0
Akila Dhananjaya,Mumbai Indians,5000000.0,2018.0
Akshar Rajesh Patel,Kings XI Punjab,7500000.0,2014.0
Akshay Karnewar,Royal Challengers Bangalore,1000000.0,2016.0
Akshay Wakhare,Mumbai Indians,1000000.0,2015.0
Akshdeep Nath,Gujarat Lions,1000000.0,2016.0
Akshdeep Nath,Gujarat Lions,1000000.0,2017.0
Akshdeep Nath,Kings XI Punjab,10000000.0,2018.0
Akshdeep Nath,Royal Challengers Bangalore,36000000.0,2019.0
Albie Morkel,Royal Challengers Bangalore,24000000.0,2014.0
Albie Morkel,Delhi Daredevils,3000000.0,2015.0
Alex Carey,Delhi Capitals,24000000.0,2020.0
Alex Hales,Kolkata Knight Riders,15000000.0,2022.0
Alzarri Joseph,Gujarat Titans,24000000.0,2022.0
Aman Khan,Kolkata Knight Riders,2000000.0,2022.0
Ambati Rayudu,Chennai Super Kings,22000000.0,2018.0
Ambati Rayudu,Chennai Super Kings,67500000.0,2022.0
Amit Mishra,Rajasthan Royals,1000000.0,2014.0
Amit Mishra,Sunrisers Hyderabad,47500000.0,2014.0
Amit Mishra,Delhi Daredevils,35000000.0,2015.0
Amit Mishra,Gujarat Lions,1000000.0,2016.0
Amit Mishra,Delhi Daredevils,40000000.0,2018.0
Amit Paunikar,Sunrisers Hyderabad,2000000.0,2014.0
Andre Russell,Kolkata Knight Riders,6000000.0,2014.0
Andrew Tye,Chennai Super Kings,2000000.0,2015.0
Andrew Tye,Gujarat Lions,5000000.0,2016.0
Andrew Tye,Kings XI Punjab,72000000.0,2018.0
Andrew Tye,Rajasthan Royals,10000000.0,2020.0
Aneeshwar Gautam,Royal Challengers Bangalore,2000000.0,2022.0
Angelo Mathews,Delhi Daredevils,75000000.0,2015.0
Angelo Mathews,Delhi Daredevils,20000000.0,2017.0
Aniket Choudhary,Royal Challengers Bangalore,20000000.0,2017.0
Aniket Choudhary,Royal Challengers Bangalore,3000000.0,2018.0
Anirudha Ashok Joshi,Royal Challengers Bangalore,2000000.0,2018.0
Anirudha Ashok Joshi,Rajasthan Royals,2000000.0,2020.0
Ankeet Bawane,Delhi Daredevils,1000000.0,2017.0
Ankit Nagendra Sharma,Rajasthan Royals,1000000.0,2014.0
Ankit Sharma,Rising Pune Supergiant,1000000.0,2016.0
Ankit Sharma,Rajasthan Royals,2000000.0,2018.0
Ankit Singh Rajpoot,Kolkata Knight Riders,15000000.0,2016.0
Ankit Singh Rajpoot,Kings XI Punjab,30000000.0,2018.0
Ankit Singh Rajpoot,Lucknow Super Giants,5000000.0,2022.0
Ankush Bains,Rajasthan Royals,1000000.0,2014.0
Ankush Bains,Chennai Super Kings,1000000.0,2015.0
Ankush Bains,Rising Pune Supergiant,1000000.0,2016.0
Ankush Bains,Delhi Capitals,2000000.0,2019.0
Anmolpreet Singh,Mumbai Indians,8000000.0,2019.0
Anmolpreet Singh,Mumbai Indians,2000000.0,2022.0
Anrich Nortje,Kolkata Knight Riders,2000000.0,2019.0
Ansh Patel,Punjab Kings,2000000.0,2022.0
Anuj Rawat,Rajasthan Royals,8000000.0,2020.0
Anuj Rawat,Royal Challengers Bangalore,34000000.0,2022.0
Anukul Roy,Mumbai Indians,2000000.0,2018.0
Anukul Roy,Kolkata Knight Riders,2000000.0,2022.0
Anunay Singh,Rajasthan Royals,2000000.0,2022.0
Anureet Singh,Kings XI Punjab,2000000.0,2014.0
Anureet Singh,Rajasthan Royals,3000000.0,2018.0
Apoorv Vijay Wankhade,Mumbai Indians,1000000.0,2014.0
Apoorv Vijay Wankhade,Kolkata Knight Riders,2000000.0,2018.0
Arjun Tendulkar,Mumbai Indians,2000000.0,2021.0
Arjun Tendulkar,Mumbai Indians,3000000.0,2022.0
Armaan Jaffer,Kings XI Punjab,1000000.0,2016.0
Arshdeep Singh,Kings XI Punjab,2000000.0,2019.0
Aryaman Vikram Birla,Rajasthan Royals,3000000.0,2018.0
Aryan Juyal,Mumbai Indians,2000000.0,2022.0
Asela Gunarathna,Mumbai Indians,3000000.0,2017.0
Ashish Nehra,Chennai Super Kings,20000000.0,2014.0
Ashish Nehra,Sunrisers Hyderabad,55000000.0,2016.0
Ashish Reddy,Sunrisers Hyderabad,2000000.0,2014.0
Ashok Dinda,Royal Challengers Bangalore,15000000.0,2014.0
Ashok Dinda,Rising Pune Supergiant,5000000.0,2016.0
Ashok Sharma,Kolkata Knight Riders,5500000.0,2022.0
Ashton Turner,Rajasthan Royals,5000000.0,2019.0
Ashwin Hebbar,Delhi Capitals,2000000.0,2022.0
Asif K M,Chennai Super Kings,4000000.0,2018.0
Atharva Taide,Punjab Kings,2000000.0,2022.0
Avesh Khan,Delhi Daredevils,7000000.0,2018.0
Avesh Khan,Lucknow Super Giants,100000000.0,2022.0
Axar Rajesh Patel,Delhi Capitals,50000000.0,2019.0
Ayush Badoni,Lucknow Super Giants,2000000.0,2022.0
B. Sai Sudharsan,Gujarat Titans,2000000.0,2022.0
Baba Aparajith,Chennai Super Kings,1000000.0,2014.0
Baba Aparajith,Rising Pune Supergiant,1000000.0,2016.0
Baba Indrajith,Kolkata Knight Riders,2000000.0,2022.0
Baltej Dhanda,Punjab Kings,2000000.0,2022.0
Bandaru Ayyappa,Delhi Capitals,2000000.0,2019.0
Barinder Singh Saran,Rajasthan Royals,1000000.0,2015.0
Barinder Singh Sran,Sunrisers Hyderabad,12000000.0,2016.0
Barinder Singh Sran,Kings XI Punjab,22000000.0,2018.0
Barinder Singh Sran,Mumbai Indians,34000000.0,2019.0
Basil Thampi,Gujarat Lions,8500000.0,2017.0
Basil Thampi,Sunrisers Hyderabad,9500000.0,2018.0
Basil Thampi,Mumbai Indians,3000000.0,2022.0
Ben Cutting,Rajasthan Royals,8000000.0,2014.0
Ben Cutting,Sunrisers Hyderabad,5000000.0,2016.0
Ben Cutting,Mumbai Indians,22000000.0,2018.0
Ben Cutting,Kolkata Knight Riders,7500000.0,2021.0
Ben Dunk,Mumbai Indians,2000000.0,2014.0
Ben Dwarshuis,Kings XI Punjab,14000000.0,2018.0
Ben Hilfenhaus,Chennai Super Kings,10000000.0,2014.0
Ben Laughlin,Chennai Super Kings,1500000.0,2013.0
Ben Laughlin,Sunrisers Hyderabad,3000000.0,2017.0
Ben Laughlin,Rajasthan Royals,5000000.0,2018.0
Benjamin Stokes,Rising Pune Supergiant,145000000.0,2017.0
Benjamin Stokes,Rajasthan Royals,125000000.0,2018.0
Benny Howell,Punjab Kings,4000000.0,2022.0
Beuran Hendricks,Kings XI Punjab,18000000.0,2014.0
Bhanuka Rajapaksa,Punjab Kings,5000000.0,2022.0
Bhuvneshwar Kumar,Sunrisers Hyderabad,42500000.0,2014.0
Bhuvneshwar Kumar,Sunrisers Hyderabad,42000000.0,2022.0
Billy Stanlake,Royal Challengers Bangalore,3000000.0,2017.0
Billy Stanlake,Sunrisers Hyderabad,5000000.0,2018.0
Bipul Sharma,Sunrisers Hyderabad,2000000.0,2018.0
Brad Hodge,Rajasthan Royals,24000000.0,2014.0
Brad Hogg,Kolkata Knight Riders,5000000.0,2015.0
Brendan Taylor,Sunrisers Hyderabad,3000000.0,2014.0
Brendon McCullum,Chennai Super Kings,32500000.0,2014.0
Brendon McCullum,Royal Challengers Bangalore,36000000.0,2018.0
C Hari Nishaanth,Chennai Super Kings,2000000.0,2021.0
C.Hari Nishaanth,Chennai Super Kings,2000000.0,2022.0
C.M. Gautam,Mumbai Indians,2000000.0,2014.0
C.M. Gautam,Delhi Daredevils,2000000.0,2015.0
Cameron Delport,Kolkata Knight Riders,3000000.0,2018.0
Carlos Brathwaite,Delhi Daredevils,42000000.0,2016.0
Carlos Brathwaite,Sunrisers Hyderabad,20000000.0,2018.0
Carlos Brathwaite,Kolkata Knight Riders,50000000.0,2019.0
Chaitanya Bishnoi,Chennai Super Kings,2000000.0,2018.0
Chama Milind,Sunrisers Hyderabad,1000000.0,2014.0
Chama Milind,Delhi Daredevils,1000000.0,2016.0
Chama Milind,Royal Challengers Bangalore,2500000.0,2022.0
Chamika Karunaratne,Kolkata Knight Riders,5000000.0,2022.0
Chetan Sakariya,Rajasthan Royals,12000000.0,2021.0
Chetan Sakariya,Delhi Capitals,42000000.0,2022.0
Cheteshwar Pujara,Kings XI Punjab,19000000.0,2014.0
Cheteshwar Pujara,Chennai Super Kings,5000000.0,2021.0
